trip_id,device_id,date,start_time,end_time,start_terminal,end_terminal,travel_time,dwell_time,SITR,day_of_week,day_name,hour_of_day,weekend,rush_hour,excess_travel_time,Direction
1,116,2022-09-01,08:21:45,09:14:24,Digana,Kandy,52.65,9.083333333333334,0.1725229503007281,3,Thursday,8.25,0,1,-4.788333333333334,Digana-Kandy
2,116,2022-09-01,10:22:41,11:19:49,Kandy,Digana,57.13333333333333,6.366666666666666,0.11143523920653442,3,Thursday,10.5,0,0,-0.3049999999999997,Kandy-Digana
3,116,2022-09-01,13:11:16,14:14:46,Digana,Kandy,63.5,10.933333333333334,0.1721784776902887,3,Thursday,13.25,0,0,6.061666666666667,Digana-Kandy
4,116,2022-09-01,16:32:13,17:29:30,Kandy,Digana,57.28333333333333,4.75,0.08292115216758801,3,Thursday,16.5,0,1,-0.15500000000000114,Kandy-Digana
5,116,2022-09-02,08:00:08,08:54:00,Digana,Kandy,53.86666666666667,8.283333333333335,0.15377475247524755,4,Friday,8.0,0,1,-3.5716666666666654,Digana-Kandy
6,116,2022-09-02,09:51:41,10:50:01,Kandy,Digana,58.333333333333336,6.916666666666667,0.11857142857142858,4,Friday,9.75,0,0,0.8950000000000031,Kandy-Digana
7,116,2022-09-02,15:30:02,16:24:47,Digana,Kandy,54.75,6.4,0.11689497716894978,4,Friday,15.5,0,0,-2.6883333333333326,Digana-Kandy
8,116,2022-09-02,17:14:48,18:04:46,Kandy,Digana,49.96666666666667,5.716666666666667,0.11440960640426952,4,Friday,17.25,0,1,-7.471666666666664,Kandy-Digana
9,116,2022-09-03,07:26:42,08:14:47,Digana,Kandy,48.083333333333336,6.516666666666668,0.13552859618717508,5,Saturday,7.5,1,1,-9.354999999999997,Digana-Kandy
10,116,2022-09-03,09:21:34,10:12:51,Kandy,Digana,51.28333333333333,4.416666666666666,0.08612284692882677,5,Saturday,9.25,1,0,-6.155000000000001,Kandy-Digana
11,116,2022-09-03,11:51:12,12:45:52,Digana,Kandy,54.66666666666666,8.25,0.1509146341463415,5,Saturday,11.75,1,0,-2.7716666666666754,Digana-Kandy
12,116,2022-09-03,14:02:21,14:58:50,Kandy,Digana,56.48333333333333,6.6000000000000005,0.11684862791383892,5,Saturday,14.0,1,0,-0.9550000000000054,Kandy-Digana
13,116,2022-09-03,15:29:20,16:18:27,Digana,Kandy,49.11666666666667,6.716666666666667,0.1367492365117068,5,Saturday,15.5,1,0,-8.321666666666665,Digana-Kandy
14,116,2022-09-03,17:40:55,18:25:20,Kandy,Digana,44.41666666666666,3.633333333333333,0.08180112570356474,5,Saturday,17.75,1,1,-13.021666666666675,Kandy-Digana
15,116,2022-09-04,08:21:20,09:16:23,Digana,Kandy,55.05,8.0,0.14532243415077203,6,Sunday,8.25,1,1,-2.3883333333333354,Digana-Kandy
16,116,2022-09-04,10:31:49,11:25:07,Kandy,Digana,53.3,6.533333333333334,0.12257661038148845,6,Sunday,10.5,1,0,-4.138333333333335,Kandy-Digana
