device_id,trip_id,date,start_time,end_time,start_terminal,end_terminal,travel_time,dwell_time
116,1,2022-09-01,08:21:45,09:14:24,BT02,BT01,52.65,9.083333333333334
116,2,2022-09-01,10:22:41,11:19:49,BT01,BT02,57.13333333333333,6.366666666666666
116,3,2022-09-01,13:11:16,14:14:46,BT02,BT01,63.5,10.933333333333334
116,4,2022-09-01,16:32:13,17:29:30,BT01,BT02,57.28333333333333,4.75
116,5,2022-09-02,08:00:08,08:54:00,BT02,BT01,53.86666666666667,8.283333333333335
116,6,2022-09-02,09:51:41,10:50:01,BT01,BT02,58.333333333333336,6.916666666666667
116,7,2022-09-02,15:30:02,16:24:47,BT02,BT01,54.75,6.4
116,8,2022-09-02,17:14:48,18:04:46,BT01,BT02,49.96666666666667,5.716666666666667
116,9,2022-09-03,07:26:42,08:14:47,BT02,BT01,48.083333333333336,6.5166666666666675
116,10,2022-09-03,09:21:34,10:12:51,BT01,BT02,51.28333333333333,4.416666666666666
116,11,2022-09-03,11:51:12,12:45:52,BT02,BT01,54.666666666666664,8.25
116,12,2022-09-03,14:02:21,14:58:50,BT01,BT02,56.483333333333334,6.6000000000000005
116,13,2022-09-03,15:29:20,16:18:27,BT02,BT01,49.11666666666667,6.716666666666667
116,14,2022-09-03,17:40:55,18:25:20,BT01,BT02,44.416666666666664,3.6333333333333333
116,15,2022-09-04,08:21:20,09:16:23,BT02,BT01,55.05,8.0
116,16,2022-09-04,10:31:49,11:25:07,BT01,BT02,53.3,6.533333333333334
116,17,2022-09-04,13:01:40,13:50:21,BT02,BT01,48.68333333333333,7.75
116,18,2022-09-04,17:21:15,18:07:41,BT01,BT02,46.43333333333333,4.233333333333333
116,19,2022-09-06,08:19:34,09:04:06,BT02,BT01,44.53333333333333,4.916666666666667
116,20,2022-09-06,10:01:56,10:54:58,BT01,BT02,53.03333333333333,3.75
116,21,2022-09-06,12:41:52,13:41:11,BT02,BT01,59.31666666666667,9.433333333333334
116,22,2022-09-06,14:30:27,15:19:32,BT01,BT02,49.083333333333336,4.7666666666666675
