trip_id,date,bus_stop_id,arrival_time,departure_time,dwell_time,deviceid
1,2022-10-01,201,08:48:09,08:48:24,0 days 00:00:15,116.0
1,2022-10-01,202,08:50:33,08:50:48,0 days 00:00:15,116.0
1,2022-10-01,203,08:54:46,08:55:16,0 days 00:00:30,116.0
1,2022-10-01,204,08:59:01,08:59:16,0 days 00:00:15,116.0
1,2022-10-01,205,09:02:50,09:03:05,0 days 00:00:15,116.0
1,2022-10-01,206,09:05:20,09:05:33,0 days 00:00:13,116.0
1,2022-10-01,207,09:06:18,09:08:03,0 days 00:01:45,116.0
1,2022-10-01,208,09:10:03,09:10:33,0 days 00:00:30,116.0
1,2022-10-01,209,09:14:13,09:15:28,0 days 00:01:15,116.0
1,2022-10-01,210,09:23:58,09:24:13,0 days 00:00:15,116.0
1,2022-10-01,211,09:25:43,09:26:43,0 days 00:01:00,116.0
1,2022-10-01,212,09:30:36,09:31:06,0 days 00:00:30,116.0
1,2022-10-01,213,09:34:06,09:34:21,0 days 00:00:15,116.0
2,2022-10-01,101,09:53:21,09:54:36,0 days 00:01:15,116.0
2,2022-10-01,102,09:57:34,09:57:49,0 days 00:00:15,116.0
2,2022-10-01,103,10:05:28,10:05:43,0 days 00:00:15,116.0
2,2022-10-01,104,10:09:21,10:09:36,0 days 00:00:15,116.0
2,2022-10-01,105,10:11:21,10:12:21,0 days 00:01:00,116.0
2,2022-10-01,106,10:16:16,10:16:31,0 days 00:00:15,116.0
2,2022-10-01,107,10:17:16,10:17:31,0 days 00:00:15,116.0
2,2022-10-01,108,10:18:38,10:18:53,0 days 00:00:15,116.0
2,2022-10-01,109,10:19:38,10:22:23,0 days 00:02:45,116.0
2,2022-10-01,110,10:25:21,10:26:06,0 days 00:00:45,116.0
2,2022-10-01,111,10:29:06,10:29:20,0 days 00:00:14,116.0
2,2022-10-01,112,10:33:20,10:33:35,0 days 00:00:15,116.0
2,2022-10-01,113,10:35:38,10:35:38,0 days 00:00:00,116.0
2,2022-10-01,114,10:37:23,10:37:38,0 days 00:00:15,116.0
3,2022-10-01,201,13:46:57,13:47:12,0 days 00:00:15,116.0
3,2022-10-01,202,13:48:34,13:48:49,0 days 00:00:15,116.0
3,2022-10-01,203,13:53:34,13:53:49,0 days 00:00:15,116.0
3,2022-10-01,204,13:58:49,13:59:04,0 days 00:00:15,116.0
