trip_id,date,start_time,end_time,start_terminal,end_terminal,travel_time,dwell_time,SITR,day_of_week,day_name,hour_of_day,weekend,rush_hour,excess_travel_time,Direction,outlier
1,2021-10-01,07:31:27,08:15:31,Digana,Kandy,44.06666666666667,5.466666666666666,0.124054462934947,4,Friday,7.5,0,1,-18.46,Digana-Kandy,normal
2,2021-10-01,09:12:10,10:00:55,Kandy,Digana,48.75,2.366666666666667,0.0485470085470085,4,Friday,9.25,0,0,-13.77666666666667,Kandy-Digana,normal
3,2021-10-01,10:42:10,11:32:30,Digana,Kandy,50.333333333333336,9.283333333333331,0.1844370860927152,4,Friday,10.75,0,0,-12.193333333333335,Digana-Kandy,normal
4,2021-10-01,12:23:09,13:15:46,Kandy,Digana,52.61666666666667,9.183333333333334,0.1745327842888818,4,Friday,12.5,0,0,-9.910000000000004,Kandy-Digana,normal
5,2021-10-01,16:59:16,18:17:15,Digana,Kandy,77.98333333333333,25.56666666666668,0.3278478307330628,4,Friday,17.0,0,1,15.456666666666663,Digana-Kandy,anomaly
7,2021-10-02,08:31:42,09:19:09,Digana,Kandy,47.45,7.016666666666664,0.1478749560941341,5,Saturday,8.5,1,1,-15.076666666666668,Digana-Kandy,normal
8,2021-10-02,11:02:33,11:56:47,Kandy,Digana,54.23333333333333,6.466666666666666,0.1192378610940381,5,Saturday,11.0,1,0,-8.293333333333344,Kandy-Digana,normal
9,2021-10-02,12:03:30,13:06:40,Digana,Kandy,63.16666666666666,9.516666666666666,0.1506596306068601,5,Saturday,12.0,1,0,0.6399999999999864,Digana-Kandy,normal
10,2021-10-02,16:06:27,17:05:29,Kandy,Digana,59.03333333333333,8.58333333333333,0.1453980801806888,5,Saturday,16.0,1,1,-3.4933333333333394,Kandy-Digana,normal
11,2021-10-02,17:31:56,18:26:47,Digana,Kandy,54.85,9.533333333333337,0.173807353388028,5,Saturday,17.5,1,1,-7.676666666666669,Digana-Kandy,normal
12,2021-10-02,18:29:17,19:05:58,Kandy,Digana,36.68333333333333,1.35,0.0368014538845979,5,Saturday,18.5,1,0,-25.84333333333334,Kandy-Digana,anomaly
13,2021-10-03,09:30:57,10:32:58,Digana,Kandy,62.016666666666666,12.349999999999998,0.1991400161246976,6,Sunday,9.5,1,0,-0.5100000000000051,Digana-Kandy,normal
14,2021-10-03,12:13:39,13:06:46,Kandy,Digana,53.11666666666667,6.3166666666666655,0.1189206149984311,6,Sunday,12.25,1,0,-9.410000000000004,Kandy-Digana,normal
15,2021-10-03,13:45:38,14:36:32,Digana,Kandy,50.9,7.5,0.1473477406679764,6,Sunday,13.75,1,0,-11.626666666666672,Digana-Kandy,normal
16,2021-10-03,18:24:59,19:02:19,Kandy,Digana,37.333333333333336,3.383333333333333,0.0906249999999999,6,Sunday,18.5,1,0,-25.19333333333333,Kandy-Digana,anomaly
17,2021-10-04,09:51:33,10:46:47,Digana,Kandy,55.23333333333333,8.583333333333332,0.1554013277006638,0,Monday,9.75,0,0,-7.293333333333344,Digana-Kandy,normal
18,2021-10-04,11:01:17,11:50:47,Kandy,Digana,49.5,2.783333333333333,0.0562289562289562,0,Monday,11.0,0,0,-13.02666666666667,Kandy-Digana,normal
19,2021-10-04,14:41:14,15:42:27,Digana,Kandy,61.21666666666667,9.150000000000002,0.1494690988292948,0,Monday,14.75,0,0,-1.3100000000000025,Digana-Kandy,normal
20,2021-10-04,16:12:25,17:10:32,Kandy,Digana,58.11666666666667,9.083333333333336,0.1562948092916547,0,Monday,16.25,0,1,-4.410000000000004,Kandy-Digana,normal
21,2021-10-05,08:30:28,09:20:39,Digana,Kandy,50.18333333333333,8.299999999999995,0.1653935569578212,1,Tuesday,8.5,0,1,-12.34333333333334,Digana-Kandy,normal
22,2021-10-05,10:01:32,12:00:34,Kandy,Digana,119.03333333333332,47.0,0.3948473816858023,1,Tuesday,10.0,0,0,56.506666666666646,Kandy-Digana,anomaly
23,2021-10-05,13:21:47,14:19:16,Digana,Kandy,57.48333333333333,5.65,0.0982893592345607,1,Tuesday,13.25,0,0,-5.043333333333344,Digana-Kandy,normal
24,2021-10-05,15:04:41,15:54:42,Kandy,Digana,50.016666666666666,3.566666666666667,0.0713095634788403,1,Tuesday,15.0,0,0,-12.510000000000003,Kandy-Digana,normal
25,2021-10-07,10:01:11,10:50:06,Digana,Kandy,48.91666666666666,7.449999999999998,0.1522998296422487,3,Thursday,10.0,0,0,-13.610000000000014,Digana-Kandy,normal
26,2021-10-07,11:39:21,12:33:32,Kandy,Digana,54.18333333333333,5.583333333333332,0.1030452168563518,3,Thursday,11.75,0,0,-8.34333333333334,Kandy-Digana,normal
27,2021-10-07,14:13:51,15:02:35,Digana,Kandy,48.73333333333333,9.200000000000005,0.1887824897400822,3,Thursday,14.25,0,0,-13.793333333333344,Digana-Kandy,normal
28,2021-10-07,15:52:38,16:44:48,Kandy,Digana,52.16666666666666,5.233333333333332,0.1003194888178913,3,Thursday,16.0,0,1,-10.360000000000014,Kandy-Digana,normal
29,2021-10-08,08:11:39,08:57:27,Digana,Kandy,45.8,7.766666666666664,0.1695778748180494,4,Friday,8.25,0,1,-16.726666666666674,Digana-Kandy,normal
30,2021-10-08,09:52:39,10:46:58,Kandy,Digana,54.31666666666667,4.3500000000000005,0.0800859159251304,4,Friday,10.0,0,0,-8.21,Kandy-Digana,normal
31,2021-10-08,12:02:03,12:50:30,Digana,Kandy,48.45,7.549999999999999,0.1558307533539731,4,Friday,12.0,0,0,-14.076666666666668,Digana-Kandy,normal
32,2021-10-08,13:41:54,14:36:15,Kandy,Digana,54.35,9.85,0.1812327506899723,4,Friday,13.75,0,0,-8.17666666666667,Kandy-Digana,normal
33,2021-10-08,15:50:37,16:46:56,Digana,Kandy,56.31666666666667,8.483333333333334,0.150636282923942,4,Friday,15.75,0,0,-6.210000000000001,Digana-Kandy,normal
34,2021-10-08,17:48:02,18:36:44,Kandy,Digana,48.7,10.599999999999998,0.217659137577002,4,Friday,17.75,0,1,-13.826666666666668,Kandy-Digana,normal
37,2021-10-09,07:58:15,08:45:17,Digana,Kandy,47.03333333333333,5.833333333333332,0.1240255138199858,5,Saturday,8.0,1,1,-15.49333333333334,Digana-Kandy,normal
38,2021-10-09,09:03:38,09:56:30,Kandy,Digana,52.86666666666667,6.033333333333332,0.114123581336696,5,Saturday,9.0,1,1,-9.660000000000004,Kandy-Digana,normal
39,2021-10-09,11:01:41,12:01:22,Digana,Kandy,59.68333333333333,12.033333333333331,0.201619659313041,5,Saturday,11.0,1,0,-2.843333333333341,Digana-Kandy,normal
40,2021-10-09,12:20:25,13:12:15,Kandy,Digana,51.833333333333336,5.200000000000001,0.1003215434083601,5,Saturday,12.25,1,0,-10.693333333333335,Kandy-Digana,normal
41,2021-10-09,14:14:25,15:02:00,Digana,Kandy,47.583333333333336,8.483333333333334,0.1782837127845884,5,Saturday,14.25,1,0,-14.943333333333335,Digana-Kandy,normal
42,2021-10-09,16:14:25,17:02:36,Kandy,Digana,48.18333333333333,9.166666666666668,0.1902455897613283,5,Saturday,16.25,1,1,-14.34333333333334,Kandy-Digana,normal
43,2021-10-10,10:45:10,11:38:53,Digana,Kandy,53.71666666666667,9.000000000000002,0.1675457648153894,6,Sunday,10.75,1,0,-8.810000000000002,Digana-Kandy,normal
45,2021-10-10,15:30:32,16:26:33,Digana,Kandy,56.016666666666666,11.783333333333331,0.2103540612912823,6,Sunday,15.5,1,0,-6.510000000000005,Digana-Kandy,normal
46,2021-10-10,18:35:39,19:16:05,Kandy,Digana,40.43333333333333,3.333333333333333,0.0824402308326463,6,Sunday,18.5,1,0,-22.09333333333334,Kandy-Digana,anomaly
47,2021-10-11,16:59:29,18:36:53,Digana,Kandy,97.4,35.40000000000001,0.3634496919917865,0,Monday,17.0,0,1,34.873333333333335,Digana-Kandy,anomaly
49,2021-10-12,07:30:52,08:09:37,Digana,Kandy,38.75,3.45,0.0890322580645161,1,Tuesday,7.5,0,1,-23.77666666666667,Digana-Kandy,anomaly
50,2021-10-12,09:02:08,09:56:23,Kandy,Digana,54.25,4.316666666666666,0.0795698924731182,1,Tuesday,9.0,0,1,-8.27666666666667,Kandy-Digana,normal
51,2021-10-12,12:23:20,13:17:28,Digana,Kandy,54.13333333333333,6.116666666666667,0.1129926108374384,1,Tuesday,12.5,0,0,-8.393333333333338,Digana-Kandy,normal
52,2021-10-12,14:10:22,15:01:57,Kandy,Digana,51.583333333333336,1.5666666666666669,0.0303715670436187,1,Tuesday,14.25,0,0,-10.943333333333335,Kandy-Digana,normal
55,2021-10-13,09:00:08,09:51:50,Digana,Kandy,51.7,4.616666666666666,0.0892972275950999,2,Wednesday,9.0,0,1,-10.826666666666668,Digana-Kandy,normal
56,2021-10-13,10:32:12,11:26:27,Kandy,Digana,54.25,5.899999999999997,0.1087557603686635,2,Wednesday,10.5,0,0,-8.27666666666667,Kandy-Digana,normal
57,2021-10-13,13:11:34,14:06:27,Digana,Kandy,54.88333333333333,7.9,0.1439416945034922,2,Wednesday,13.25,0,0,-7.643333333333338,Digana-Kandy,normal
58,2021-10-13,14:32:16,15:31:49,Kandy,Digana,59.55,10.95,0.1838790931989924,2,Wednesday,14.5,0,0,-2.9766666666666737,Kandy-Digana,normal
61,2021-10-14,16:47:32,18:41:48,Digana,Kandy,114.26666666666668,56.36666666666665,0.4932905484247373,3,Thursday,16.75,0,1,51.74000000000001,Digana-Kandy,anomaly
63,2021-10-15,17:02:37,18:34:02,Digana,Kandy,91.41666666666669,34.750000000000014,0.3801276207839563,4,Friday,17.0,0,1,28.89000000000001,Digana-Kandy,anomaly
65,2021-10-16,16:02:00,16:53:03,Kandy,Digana,51.05,4.883333333333334,0.0956578517793013,5,Saturday,16.0,1,1,-11.476666666666674,Kandy-Digana,normal
66,2021-10-16,16:57:51,18:45:04,Digana,Kandy,107.21666666666668,49.233333333333306,0.4591947769314469,5,Saturday,17.0,1,1,44.69000000000001,Digana-Kandy,anomaly
68,2021-10-17,08:30:33,09:25:39,Digana,Kandy,55.1,7.666666666666663,0.1391409558378704,6,Sunday,8.5,1,1,-7.426666666666669,Digana-Kandy,normal
69,2021-10-17,10:33:26,11:20:14,Kandy,Digana,46.8,5.266666666666665,0.1125356125356125,6,Sunday,10.5,1,0,-15.726666666666674,Kandy-Digana,normal
70,2021-10-17,11:36:44,12:28:54,Digana,Kandy,52.16666666666666,11.933333333333332,0.2287539936102236,6,Sunday,11.5,1,0,-10.360000000000014,Digana-Kandy,normal
71,2021-10-17,15:52:28,16:45:48,Kandy,Digana,53.333333333333336,5.966666666666666,0.1118749999999999,6,Sunday,15.75,1,0,-9.193333333333335,Kandy-Digana,normal
73,2021-10-18,08:21:51,09:12:27,Digana,Kandy,50.6,4.8500000000000005,0.0958498023715415,0,Monday,8.25,0,1,-11.92666666666667,Digana-Kandy,normal
74,2021-10-18,09:32:17,10:25:21,Kandy,Digana,53.06666666666667,4.416666666666667,0.0832286432160804,0,Monday,9.5,0,0,-9.46,Kandy-Digana,normal
75,2021-10-18,11:21:25,12:19:07,Digana,Kandy,57.7,10.000000000000002,0.1733102253032929,0,Monday,11.25,0,0,-4.826666666666668,Digana-Kandy,normal
76,2021-10-18,15:41:50,16:36:35,Kandy,Digana,54.75,7.250000000000001,0.1324200913242009,0,Monday,15.75,0,0,-7.776666666666671,Kandy-Digana,normal
77,2021-10-18,16:39:27,18:38:49,Digana,Kandy,119.36666666666666,55.28333333333335,0.4631387880480315,0,Monday,16.75,0,1,56.83999999999999,Digana-Kandy,anomaly
79,2021-10-19,08:31:08,09:22:32,Digana,Kandy,51.4,5.95,0.1157587548638132,1,Tuesday,8.5,0,1,-11.126666666666672,Digana-Kandy,normal
80,2021-10-19,09:42:08,10:34:52,Kandy,Digana,52.73333333333333,4.366666666666665,0.0828065739570164,1,Tuesday,9.75,0,0,-9.793333333333344,Kandy-Digana,normal
81,2021-10-19,11:52:14,12:48:47,Digana,Kandy,56.55,14.683333333333332,0.2596522251694665,1,Tuesday,11.75,0,0,-5.976666666666674,Digana-Kandy,normal
82,2021-10-19,15:51:24,16:50:28,Kandy,Digana,59.06666666666667,7.2,0.1218961625282167,1,Tuesday,15.75,0,0,-3.460000000000001,Kandy-Digana,normal
83,2021-10-19,17:54:08,18:39:37,Digana,Kandy,45.48333333333333,3.5666666666666664,0.0784170025650421,1,Tuesday,18.0,0,1,-17.043333333333344,Digana-Kandy,normal
85,2021-10-20,10:40:03,11:36:28,Digana,Kandy,56.41666666666666,12.483333333333334,0.2212703101920237,2,Wednesday,10.75,0,0,-6.110000000000014,Digana-Kandy,normal
86,2021-10-20,12:15:59,13:15:15,Kandy,Digana,59.266666666666666,13.250000000000002,0.2235658042744657,2,Wednesday,12.25,0,0,-3.260000000000005,Kandy-Digana,normal
87,2021-10-20,13:44:46,14:39:48,Digana,Kandy,55.03333333333333,10.35,0.1880678376741368,2,Wednesday,13.75,0,0,-7.493333333333339,Digana-Kandy,normal
88,2021-10-20,16:00:25,17:01:19,Kandy,Digana,60.9,5.383333333333333,0.0883962780514504,2,Wednesday,16.0,0,1,-1.6266666666666725,Kandy-Digana,normal
89,2021-10-20,17:31:31,18:21:04,Digana,Kandy,49.55,4.4,0.0887991927346115,2,Wednesday,17.5,0,1,-12.976666666666674,Digana-Kandy,normal
92,2021-10-22,08:41:30,09:34:11,Digana,Kandy,52.68333333333333,8.499999999999998,0.1613413476747864,4,Friday,8.75,0,1,-9.84333333333334,Digana-Kandy,normal
93,2021-10-22,09:52:15,10:45:06,Kandy,Digana,52.85,5.4,0.1021759697256386,4,Friday,9.75,0,0,-9.67666666666667,Kandy-Digana,normal
94,2021-10-22,11:19:23,12:13:02,Digana,Kandy,53.65,8.48333333333333,0.1581236408822615,4,Friday,11.25,0,0,-8.876666666666672,Digana-Kandy,normal
95,2021-10-22,15:31:58,16:28:14,Kandy,Digana,56.266666666666666,7.816666666666667,0.1389218009478673,4,Friday,15.5,0,0,-6.260000000000005,Kandy-Digana,normal
100,2021-10-23,16:53:33,18:30:36,Digana,Kandy,97.05,35.11666666666665,0.3618409754422118,5,Saturday,17.0,1,1,34.523333333333326,Digana-Kandy,anomaly
102,2021-10-24,08:58:57,09:53:31,Digana,Kandy,54.56666666666667,6.6166666666666645,0.1212583995113011,6,Sunday,9.0,1,1,-7.960000000000001,Digana-Kandy,normal
103,2021-10-24,10:11:41,11:07:45,Kandy,Digana,56.06666666666667,9.083333333333332,0.1620095124851367,6,Sunday,10.25,1,0,-6.460000000000001,Kandy-Digana,normal
105,2021-10-24,17:38:38,18:23:13,Kandy,Digana,44.583333333333336,4.150000000000001,0.0930841121495327,6,Sunday,17.75,1,1,-17.943333333333335,Kandy-Digana,normal
106,2021-10-25,08:22:43,09:15:53,Digana,Kandy,53.16666666666666,9.416666666666668,0.1771159874608151,0,Monday,8.5,0,1,-9.360000000000014,Digana-Kandy,normal
107,2021-10-25,09:51:56,10:46:33,Kandy,Digana,54.61666666666667,7.899999999999999,0.1446444919133353,0,Monday,9.75,0,0,-7.910000000000004,Kandy-Digana,normal
108,2021-10-25,11:41:31,12:42:02,Digana,Kandy,60.516666666666666,11.550000000000002,0.1908565133572019,0,Monday,11.75,0,0,-2.010000000000005,Digana-Kandy,normal
110,2021-10-25,15:31:21,16:27:10,Digana,Kandy,55.81666666666667,11.05,0.1979695431472081,0,Monday,15.5,0,0,-6.710000000000001,Digana-Kandy,normal
114,2021-10-26,19:26:39,20:02:49,Kandy,Digana,36.16666666666666,0.4499999999999999,0.012442396313364,1,Tuesday,19.5,0,0,-26.360000000000014,Kandy-Digana,anomaly
115,2021-10-27,13:41:49,14:32:35,Digana,Kandy,50.766666666666666,4.516666666666667,0.0889691398555482,2,Wednesday,13.75,0,0,-11.760000000000003,Digana-Kandy,normal
