trip_id,device_id,date,start_time,end_time,start_terminal,end_terminal,travel_time,dwell_time,SITR,day_of_week,day_name,hour_of_day,weekend,rush_hour,excess_travel_time,Direction,anomaly_score,behaviour
1,116,2022-09-01,08:21:45,09:14:24,Digana,Kandy,52.65,9.083333333333334,0.1725229503007281,3,Thursday,8.25,0,1,-4.916666666666671,Digana-Kandy,1,normal
2,116,2022-09-01,10:22:41,11:19:49,Kandy,Digana,57.13333333333333,6.366666666666666,0.11143523920653442,3,Thursday,10.5,0,0,-0.4333333333333371,Kandy-Digana,1,normal
3,116,2022-09-01,13:11:16,14:14:46,Digana,Kandy,63.5,10.933333333333334,0.1721784776902887,3,Thursday,13.25,0,0,5.93333333333333,Digana-Kandy,1,normal
4,116,2022-09-01,16:32:13,17:29:30,Kandy,Digana,57.28333333333333,4.75,0.08292115216758801,3,Thursday,16.5,0,1,-0.28333333333333854,Kandy-Digana,-1,anomaly
5,116,2022-09-02,08:00:08,08:54:00,Digana,Kandy,53.86666666666667,8.283333333333335,0.15377475247524755,4,Friday,8.0,0,1,-3.700000000000003,Digana-Kandy,1,normal
6,116,2022-09-02,09:51:41,10:50:01,Kandy,Digana,58.333333333333336,6.916666666666667,0.11857142857142858,4,Friday,9.75,0,0,0.7666666666666657,Kandy-Digana,1,normal
7,116,2022-09-02,15:30:02,16:24:47,Digana,Kandy,54.75,6.4,0.11689497716894978,4,Friday,15.5,0,0,-2.81666666666667,Digana-Kandy,1,normal
8,116,2022-09-02,17:14:48,18:04:46,Kandy,Digana,49.96666666666667,5.716666666666667,0.11440960640426952,4,Friday,17.25,0,1,-7.600000000000001,Kandy-Digana,1,normal
9,116,2022-09-03,07:26:42,08:14:47,Digana,Kandy,48.083333333333336,6.516666666666668,0.13552859618717508,5,Saturday,7.5,1,0,-9.483333333333334,Digana-Kandy,1,normal
10,116,2022-09-03,09:21:34,10:12:51,Kandy,Digana,51.28333333333333,4.416666666666666,0.08612284692882677,5,Saturday,9.25,1,0,-6.2833333333333385,Kandy-Digana,1,normal
11,116,2022-09-03,11:51:12,12:45:52,Digana,Kandy,54.66666666666666,8.25,0.1509146341463415,5,Saturday,11.75,1,0,-2.900000000000013,Digana-Kandy,1,normal
