trip_id,device_id,date,start_time,end_time,start_terminal,end_terminal,travel_time,dwell_time
1,116,2022-09-01,08:21:45,09:14:24,BT02,BT01,52.65,9.083333333333334
2,116,2022-09-01,10:22:41,11:19:49,BT01,BT02,57.13333333333333,6.366666666666666
3,116,2022-09-01,13:11:16,14:14:46,BT02,BT01,63.5,10.933333333333334
4,116,2022-09-01,16:32:13,17:29:30,BT01,BT02,57.28333333333333,4.75
5,116,2022-09-02,08:00:08,08:54:00,BT02,BT01,53.86666666666667,8.283333333333335
6,116,2022-09-02,09:51:41,10:50:01,BT01,BT02,58.333333333333336,6.916666666666667
7,116,2022-09-02,15:30:02,16:24:47,BT02,BT01,54.75,6.4
8,116,2022-09-02,17:14:48,18:04:46,BT01,BT02,49.96666666666667,5.716666666666667
9,116,2022-09-03,07:26:42,08:14:47,BT02,BT01,48.083333333333336,6.516666666666668
10,116,2022-09-03,09:21:34,10:12:51,BT01,BT02,51.28333333333333,4.416666666666666
11,116,2022-09-03,11:51:12,12:45:52,BT02,BT01,54.66666666666666,8.25
12,116,2022-09-03,14:02:21,14:58:50,BT01,BT02,56.48333333333333,6.6000000000000005
13,116,2022-09-03,15:29:20,16:18:27,BT02,BT01,49.11666666666667,6.716666666666667
14,116,2022-09-03,17:40:55,18:25:20,BT01,BT02,44.41666666666666,3.633333333333333
15,116,2022-09-04,08:21:20,09:16:23,BT02,BT01,55.05,8.0
16,116,2022-09-04,10:31:49,11:25:07,BT01,BT02,53.3,6.533333333333334
17,116,2022-09-04,13:01:40,13:50:21,BT02,BT01,48.68333333333333,7.75
18,116,2022-09-04,17:21:15,18:07:41,BT01,BT02,46.43333333333333,4.233333333333333
19,116,2022-09-06,08:19:34,09:04:06,BT02,BT01,44.53333333333333,4.916666666666667
20,116,2022-09-06,10:01:56,10:54:58,BT01,BT02,53.03333333333333,3.75
21,116,2022-09-06,12:41:52,13:41:11,BT02,BT01,59.31666666666667,9.433333333333334
22,116,2022-09-06,14:30:27,15:19:32,BT01,BT02,49.083333333333336,4.766666666666668
23,116,2022-09-06,17:22:22,18:17:07,BT02,BT01,54.75,5.5
24,116,2022-09-06,20:26:17,21:01:38,BT01,BT02,35.35,2.45
25,116,2022-09-07,07:41:47,08:30:14,BT02,BT01,48.45,5.183333333333334
26,116,2022-09-07,09:42:07,10:37:17,BT01,BT02,55.16666666666666,5.483333333333333
27,116,2022-09-07,12:31:07,13:27:19,BT02,BT01,56.2,12.1
28,116,2022-09-07,16:41:28,17:29:02,BT01,BT02,47.56666666666667,3.8
29,116,2022-09-08,07:50:58,08:46:50,BT02,BT01,55.86666666666667,7.633333333333334
30,116,2022-09-08,09:52:15,10:49:21,BT01,BT02,57.1,7.016666666666667
31,116,2022-09-08,11:41:31,12:38:37,BT02,BT01,57.1,7.300000000000001
32,116,2022-09-08,12:52:37,13:45:12,BT01,BT02,52.583333333333336,4.25
33,116,2022-09-08,16:51:55,17:47:22,BT02,BT01,55.45,20.5
34,116,2022-09-08,18:27:03,19:12:47,BT01,BT02,45.73333333333333,4.8500000000000005
35,116,2022-09-09,08:11:08,08:56:45,BT02,BT01,45.61666666666667,5.25
36,116,2022-09-09,09:51:15,10:44:45,BT01,BT02,53.5,4.7
37,116,2022-09-09,13:11:11,14:09:17,BT02,BT01,58.1,7.483333333333333
38,116,2022-09-09,15:02:17,15:51:12,BT01,BT02,48.91666666666666,3.5
39,116,2022-09-11,09:46:32,10:39:08,BT02,BT01,52.6,7.0
40,116,2022-09-11,12:12:36,13:11:08,BT01,BT02,58.53333333333333,20.1
41,116,2022-09-11,15:45:21,16:37:28,BT02,BT01,52.11666666666667,7.95
42,116,2022-09-11,17:29:32,18:16:36,BT01,BT02,47.06666666666667,4.966666666666667
43,116,2022-09-12,07:30:27,08:06:20,BT02,BT01,35.88333333333333,4.583333333333334
44,116,2022-09-12,09:01:59,10:00:08,BT01,BT02,58.15,8.25
45,116,2022-09-12,11:41:44,12:28:38,BT02,BT01,46.9,6.283333333333333
46,116,2022-09-12,13:13:30,13:58:06,BT01,BT02,44.6,5.35
47,116,2022-09-12,16:31:53,17:25:40,BT02,BT01,53.78333333333333,6.7
48,116,2022-09-12,18:12:20,18:56:27,BT01,BT02,44.11666666666667,3.8
49,116,2022-09-13,07:01:06,07:49:42,BT02,BT01,48.6,5.733333333333333
50,116,2022-09-13,09:12:55,10:06:28,BT01,BT02,53.55,5.25
51,116,2022-09-13,12:01:08,12:53:15,BT02,BT01,52.11666666666667,6.5
52,116,2022-09-13,14:20:37,15:12:02,BT01,BT02,51.41666666666666,6.550000000000001
53,116,2022-09-13,16:21:59,17:14:57,BT02,BT01,52.96666666666667,4.816666666666666
54,116,2022-09-13,18:50:20,19:38:24,BT01,BT02,48.06666666666667,4.949999999999999
55,116,2022-09-14,06:41:48,08:04:02,BT02,BT01,82.23333333333333,41.63333333333333
56,116,2022-09-14,08:41:33,09:22:18,BT01,BT02,40.75,1.9333333333333331
57,116,2022-09-14,11:12:07,12:13:53,BT02,BT01,61.766666666666666,11.583333333333332
58,116,2022-09-14,13:02:00,13:56:58,BT01,BT02,54.96666666666667,5.233333333333333
59,116,2022-09-17,06:22:20,07:05:58,BT02,BT01,43.63333333333333,4.666666666666666
60,116,2022-09-17,07:42:19,08:33:25,BT01,BT02,51.1,7.25
61,116,2022-09-17,11:00:41,11:56:00,BT02,BT01,55.31666666666667,10.833333333333334
62,116,2022-09-17,12:22:02,13:17:24,BT01,BT02,55.36666666666667,9.95
63,116,2022-09-18,06:07:47,06:42:45,BT02,BT01,34.96666666666667,2.15
64,116,2022-09-18,07:21:02,08:16:04,BT01,BT02,55.03333333333333,6.800000000000001
65,116,2022-09-19,06:24:28,07:06:18,BT02,BT01,41.833333333333336,4.683333333333334
66,116,2022-09-19,07:42:32,08:34:39,BT01,BT02,52.11666666666667,5.1000000000000005
67,116,2022-09-19,10:41:33,11:39:09,BT02,BT01,57.6,9.0
68,116,2022-09-19,12:12:09,13:03:18,BT01,BT02,51.15,5.216666666666667
69,116,2022-09-19,14:52:01,15:46:41,BT02,BT01,54.66666666666666,8.216666666666669
70,116,2022-09-19,17:38:28,18:25:04,BT01,BT02,46.6,4.466666666666667
71,116,2022-09-21,05:42:03,06:20:05,BT02,BT01,38.03333333333333,3.2333333333333334
72,116,2022-09-21,07:22:14,08:04:12,BT01,BT02,41.96666666666667,3.266666666666667
73,116,2022-09-21,10:21:50,11:19:06,BT02,BT01,57.266666666666666,9.25
74,116,2022-09-21,12:12:18,13:12:30,BT01,BT02,60.2,8.2
75,116,2022-09-21,14:41:42,15:29:56,BT02,BT01,48.23333333333333,5.066666666666666
76,116,2022-09-21,16:51:49,17:43:57,BT01,BT02,52.13333333333333,5.7
77,116,2022-09-22,08:40:23,09:34:22,BT02,BT01,53.98333333333333,9.85
78,116,2022-09-22,10:11:50,11:06:19,BT01,BT02,54.48333333333333,7.116666666666667
79,116,2022-09-22,12:41:50,13:43:08,BT02,BT01,61.3,9.866666666666667
80,116,2022-09-22,14:11:16,15:04:32,BT01,BT02,53.266666666666666,5.25
81,116,2022-09-22,16:42:26,17:34:24,BT02,BT01,51.96666666666667,4.066666666666666
82,116,2022-09-22,19:08:19,19:43:57,BT01,BT02,35.63333333333333,2.25
83,116,2022-09-23,08:51:09,09:39:57,BT02,BT01,48.8,6.7
84,116,2022-09-23,10:21:54,11:10:54,BT01,BT02,49.0,2.0
85,116,2022-09-23,13:01:52,13:58:36,BT02,BT01,56.73333333333333,7.116666666666667
86,116,2022-09-23,14:41:24,15:34:41,BT01,BT02,53.28333333333333,6.35
